name,scn_name,v_nom,carrier,x,y,country,control,generator
0,eGon2035,380.0,AC,-1.9756813895020315,53.282087722259334,GB,Slack,0 coal
1,eGon2035,380.0,AC,12.10909520506374,53.2508228590125,DE,Slack,1 biomass
10,eGon2035,380.0,AC,11.991186781679922,48.44114940280227,DE,PV,10 biomass
11,eGon2035,380.0,AC,8.207947631625533,46.82343065666129,CH,PV,11 biomass
12,eGon2035,380.0,AC,13.60427444018489,47.549498217049525,AT,PV,12 biomass
13,eGon2035,380.0,AC,5.55144817647059,52.374286058823536,NL,PV,13 nuclear
14,eGon2035,380.0,AC,8.423586333033267,51.911610841033166,DE,PV,14 biomass
15,eGon2035,380.0,AC,4.798653786209867,50.74318840599844,BE,PV,15 coal
16,eGon2035,380.0,AC,-6.097540942585511,54.6687787490669,GB,Slack,16 lignite
17,eGon2035,380.0,AC,8.557637900000001,49.992053500000004,DE,PV,17 biomass
18,eGon2035,380.0,AC,12.315479207259967,51.074076109079115,DE,PV,18 biomass
19,eGon2035,380.0,AC,9.73224872983087,55.99042991134832,DK,PV,19 coal
2,eGon2035,380.0,AC,3.1555151587908,46.808684469407666,FR,PV,2 nuclear
20,eGon2035,380.0,AC,7.32817357112307,52.867004159281805,DE,PV,20 biomass
21,eGon2035,380.0,AC,12.2839744286048,55.50990254373553,DK,Slack,21 coal
22,eGon2035,380.0,AC,10.599779,52.12276000000001,DE,PV,22 biomass
23,eGon2035,380.0,AC,13.6434353,52.116284400000005,DE,PV,23 biomass
24,eGon2035,380.0,AC,10.016228424484684,53.636315690858574,DE,PV,24 biomass
25,eGon2035,380.0,AC,8.348429000000001,53.253598000000004,DE,PV,25 biomass
26,eGon2035,380.0,AC,6.812405900000001,49.723623100000005,DE,PV,26 biomass
27,eGon2035,380.0,AC,10.7699449,50.5229924,DE,PV,27 biomass
28,eGon2035,380.0,AC,8.9222183,48.66432390000001,DE,PV,28 biomass
29,eGon2035,380.0,AC,13.675938987831467,53.739389696464166,DE,PV,29 biomass
3,eGon2035,380.0,AC,16.277634034498558,61.35776074926747,SE,PV,3 nuclear
4,eGon2035,380.0,AC,6.893770600000001,51.2709197,DE,PV,4 biomass
41276,eGon2035,110.0,dsm,7.0556461810028175,49.65761744239216,DE,Slack,41276 load shedding
41290,eGon2035,110.0,dsm,6.9341363581263336,51.2284052859957,DE,Slack,41290 load shedding
41526,eGon2035,110.0,dsm,10.58934028465043,52.27503252021799,DE,Slack,41526 load shedding
41538,eGon2035,110.0,dsm,11.787254093744162,53.515871702239075,DE,Slack,41538 load shedding
41544,eGon2035,110.0,dsm,12.641486652588767,51.24246517858809,DE,Slack,41544 load shedding
42514,eGon2035,110.0,dsm,13.495705284408508,53.71542232275653,DE,Slack,42514 load shedding
42656,eGon2035,110.0,dsm,10.130902240315981,53.62308097710544,DE,Slack,42656 load shedding
42658,eGon2035,110.0,dsm,12.037059374806423,48.924935987576745,DE,Slack,42658 load shedding
42664,eGon2035,110.0,dsm,8.42408804275324,51.87607638633225,DE,Slack,42664 load shedding
42704,eGon2035,110.0,dsm,7.292570391036617,52.82384654769493,DE,Slack,42704 load shedding
42816,eGon2035,110.0,dsm,8.567366819414925,53.22274120629192,DE,Slack,42816 load shedding
43542,eGon2035,110.0,dsm,10.618292964824807,48.20561631329881,DE,Slack,43542 load shedding
43544,eGon2035,110.0,dsm,8.581278861265151,50.16400882413254,DE,Slack,43544 load shedding
43546,eGon2035,110.0,dsm,13.507170011062682,52.33400000498953,DE,Slack,43546 load shedding
43556,eGon2035,110.0,dsm,12.594206153209804,48.099331669142,DE,Slack,43556 load shedding
43740,eGon2035,110.0,dsm,10.971838765264962,50.38247952209325,DE,Slack,43740 load shedding
43742,eGon2035,110.0,dsm,8.247800215192791,47.779701658868056,DE,Slack,43742 load shedding
43744,eGon2035,110.0,dsm,8.86995580960374,48.8298958778551,DE,Slack,43744 load shedding
43746,eGon2035,110.0,dsm,9.47501796129269,54.35887142120071,DE,Slack,43746 load shedding
48639,eGon2035,1.0,CH4,13.60427444018489,47.549498217049525,AT,Slack,48639 CH4
48640,eGon2035,1.0,CH4,4.798653786209867,50.74318840599844,BE,Slack,48640 CH4
48641,eGon2035,1.0,CH4,8.207947631625533,46.82343065666129,CH,Slack,48641 load shedding
48642,eGon2035,1.0,CH4,15.238200383770577,49.84255074731976,CZ,Slack,48642 CH4
48643,eGon2035,1.0,CH4,9.73224872983087,55.99042991134832,DK,Slack,48643 CH4
48644,eGon2035,1.0,CH4,3.1555151587908,46.808684469407666,FR,Slack,48644 CH4
48645,eGon2035,1.0,CH4,-6.097540942585511,54.6687787490669,GB,Slack,48645 CH4
48646,eGon2035,1.0,CH4,6.130510690868267,49.6773404049915,LU,Slack,48646 CH4
48647,eGon2035,1.0,CH4,5.55144817647059,52.374286058823536,NL,Slack,48647 CH4
48648,eGon2035,1.0,CH4,8.605317995983397,60.97891064521747,NO,Slack,48648 CH4
48649,eGon2035,1.0,CH4,18.902232738057837,51.57212911875295,PL,Slack,48649 CH4
48650,eGon2035,1.0,CH4,16.277634034498558,61.35776074926747,SE,Slack,48650 CH4
48652,eGon2035,1.0,CH4,41.0,55.0,RU,Slack,48652 CH4
48653,eGon2035,1.0,H2_saltcavern,13.736750972174391,52.03797723973294,DE,Slack,48653 load shedding
48679,eGon2035,1.0,H2_saltcavern,10.552307511333716,52.29367124562562,DE,Slack,48679 load shedding
48693,eGon2035,1.0,H2_saltcavern,13.346819509528071,54.2191144426637,DE,Slack,48693 load shedding
48695,eGon2035,1.0,H2_saltcavern,11.776702610218415,53.66250026158406,DE,Slack,48695 load shedding
48697,eGon2035,1.0,H2_saltcavern,6.623431865119776,51.64265299977986,DE,Slack,48697 load shedding
48700,eGon2035,1.0,H2_saltcavern,9.094060188760423,52.01414593805486,DE,Slack,48700 load shedding
48706,eGon2035,1.0,H2_saltcavern,7.235182925734688,52.65828714233048,DE,Slack,48706 load shedding
48717,eGon2035,1.0,H2_saltcavern,11.663694896683452,51.44486097707888,DE,Slack,48717 load shedding
48738,eGon2035,1.0,H2_saltcavern,10.769249271975081,51.08224202258351,DE,Slack,48738 load shedding
48763,eGon2035,1.0,H2_saltcavern,9.454287016599077,54.29233773135711,DE,Slack,48763 load shedding
48764,eGon2035,1.0,H2_saltcavern,10.025036986206391,53.561434347708875,DE,Slack,48764 load shedding
48810,eGon2035,1.0,H2_saltcavern,8.752043342100178,53.30072484981263,DE,Slack,48810 load shedding
49625,eGon2035,1.0,central_heat,11.57240578601486,48.132056085526024,DE,Slack,49625 central_biomass_CHP_heat
5,eGon2035,380.0,AC,8.605317995983397,60.97891064521747,NO,PV,5 others
50209,eGon2035,1.0,central_heat,11.055639407703808,49.44761419709485,DE,Slack,50209 central_biomass_CHP_heat
50219,eGon2035,1.0,central_heat,8.494411243733138,49.48497727712305,DE,Slack,50219 geo_thermal
52040,eGon2035,1.0,rural_heat,7.060978067923557,49.66108830881233,DE,Slack,52040 load shedding
52041,eGon2035,1.0,rural_heat,6.933149843735046,51.22965284232654,DE,Slack,52041 load shedding
52042,eGon2035,1.0,rural_heat,8.427323154820849,51.8759062726532,DE,Slack,52042 load shedding
52043,eGon2035,1.0,rural_heat,10.132863044148602,53.6269725212831,DE,Slack,52043 load shedding
52044,eGon2035,1.0,rural_heat,12.03717389749959,48.92338636900651,DE,Slack,52044 load shedding
52046,eGon2035,1.0,rural_heat,10.590580643527277,52.27937887067671,DE,Slack,52046 load shedding
52052,eGon2035,1.0,rural_heat,10.6146409607796,48.20692181600674,DE,Slack,52052 load shedding
52053,eGon2035,1.0,rural_heat,13.48731158143172,53.711388214081445,DE,Slack,52053 load shedding
52055,eGon2035,1.0,rural_heat,8.249374567573968,47.788083729638835,DE,Slack,52055 load shedding
52058,eGon2035,1.0,rural_heat,13.5191706147396,52.332226640573914,DE,Slack,52058 load shedding
52059,eGon2035,1.0,rural_heat,12.633847628924961,51.24599125159526,DE,Slack,52059 load shedding
52061,eGon2035,1.0,rural_heat,9.459998482437921,54.36552329331699,DE,Slack,52061 load shedding
52064,eGon2035,1.0,rural_heat,11.795017392063805,53.523358164246986,DE,Slack,52064 load shedding
52067,eGon2035,1.0,rural_heat,8.873488191600336,48.83011500560107,DE,Slack,52067 load shedding
52069,eGon2035,1.0,rural_heat,8.583142996634816,50.16733136219764,DE,Slack,52069 load shedding
52071,eGon2035,1.0,rural_heat,10.96862236665232,50.38428709307637,DE,Slack,52071 load shedding
