name,scn_name,bus0,bus1,carrier,p_nom,p_nom_extendable,p_nom_max,capital_cost,length,type,efficiency,p_nom_min,p_min_pu,marginal_cost,p_nom_opt,country,build_year,lifetime,min_up_time,min_down_time,up_time_before,down_time_before,p_nom_mod,stand_by_cost,start_up_cost,shut_down_cost,ramp_limit_start_up,ramp_limit_shut_down
0,eGon2035,0,13,DC,1000.0,True,4000.0,1126.42478909851,515.4257544954448,,1.0,1000.0,-1.0,0.01051664063156824,3999.9997321920537,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
1,eGon2035,0,15,DC,0.0,True,0.0,872.9158267121838,542.4840827461112,,1.0,0.0,-1.0,0.010608893260563735,0.0,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
2,eGon2035,0,16,DC,500.0,True,inf,548.4588472669811,310.4723882783535,,1.0,500.0,-1.0,0.010246461947654868,1942.7036504333616,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
3,eGon2035,0,19,DC,0.0,True,0.0,2480.175497842263,810.1641263072428,,1.0,0.0,-1.0,0.010383478690140533,0.0,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
4,eGon2035,0,2,DC,2000.0,True,8000.0,1107.5269492156938,807.1998278940348,,1.0,2000.0,-1.0,0.010065272946990302,7999.999611380585,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
5,eGon2035,0,5,DC,0.0,True,0.0,2227.490255722004,1065.0735400123956,,1.0,0.0,-1.0,0.009320031688580132,0.0,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
6,eGon2035,1,21,DC,600.0,True,2400.0,1691.86196956578,223.28620881815655,,1.0,600.0,-1.0,0.0,600.0025119366701,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
7,eGon2035,1,41538,dsm,42.627843060762764,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,42.627843060762764,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
8,eGon2035,1,48695,power_to_H2,0.0,True,inf,461.22415334238485,0.0,,0.7,0.0,0.0,0.0,14.478083450821892,,0.0,31.0,0.0,0.0,1.0,0.0,,,,,,
9,eGon2035,1,52064,rural_heat_pump,403.44735994769303,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,403.44735994769303,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
10,eGon2035,1,70797,BEV_charger,812.0388038158417,False,inf,0.0,0.0,,0.9,0.0,0.0,0.0,812.0388038158417,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
