name,bus0,bus1,carrier,x,r,g,b,s_nom,s_nom_extendable,s_nom_min,s_nom_max,s_max_pu,build_year,lifetime,capital_cost,length,terrain_factor,num_parallel,v_ang_min,v_ang_max,geom,s_nom_mod
28152,10025,10020,AC,3.18935188,1.1065692,0.0,0.000140331444,1040.0,True,1040.0,6218.755219495297,1.0,0,40,15.819383834681645,20.268497979039434,1.0,1.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa862813cd0>,0.0
10907,1003,1000,AC,6.2718535,1.8133907,0.0,4.9652108e-05,260.0,True,260.0,1554.6888048738242,1.0,0,40,4.278069122651,16.586657588387034,1.0,1.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa85fd538b0>,0.0
5499,10073,10071,AC,0.04910373600000001,0.0170368968,0.0,5.4013916e-07,520.0,True,520.0,6218.755219495297,1.0,0,40,0.12179592657241169,0.1560503567892498,1.0,1.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa85d517790>,0.0
15287,10087,10086,AC,0.9857144000000001,0.28500098,0.0,3.121437e-05,520.0,True,520.0,1554.6888048738242,1.0,0,40,1.345119312611393,5.215211071668283,1.0,2.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa85b699900>,0.0
28830,10103,10101,AC,6.3226614,1.8280801,0.0,5.0054433e-05,260.0,True,260.0,1554.6888048738242,1.0,0,40,4.314840051954246,16.729223497462804,1.0,1.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa85a1d8220>,0.0
5948,10136,10135,AC,0.67843853,0.19615794,0.0,5.3709722e-06,260.0,True,260.0,1554.6888048738242,1.0,0,40,0.4638207388353353,1.7982962773371722,1.0,1.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa85fdd7820>,0.0
10915,1019,1018,AC,2.33413214,0.260042018,0.0,0.0001633894664,3580.0,True,3580.0,10741.486288219148,1.0,0,40,14.47285172415442,18.543261165384358,1.0,2.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa85d5ac700>,0.0
5968,10213,10209,AC,2.0083701,0.58068384,0.0,6.3598447e-05,520.0,True,520.0,1554.6888048738242,1.0,0,40,2.745998260994103,10.646609857764822,1.0,1.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa860007550>,0.0
5358,10213,10212,AC,0.02178,0.0040903445,0.0,7.26e-05,560.0,True,560.0,1554.6888048738242,1.0,0,40,0.1189431665263113,0.4611588824511307,1.0,1.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa8621739d0>,0.0
10921,1024,1023,AC,1.24014352,0.43027745200000006,0.0,1.36415884e-05,520.0,True,520.0,6218.755219495297,1.0,0,40,3.074852340415405,3.939637542071721,1.0,1.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa85e808dc0>,0.0
24754,10246,10245,AC,0.08602495,0.024872518000000003,0.0,1.08964856e-05,1040.0,True,1040.0,1554.6888048738242,1.0,0,40,0.23510430826958328,0.9115314753039097,1.0,3.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa85d3c7e20>,0.0
619,1030,1029,AC,0.094218344,0.027241456,0.0,7.4589482e-07,260.0,True,260.0,1554.6888048738242,1.0,0,40,0.06426734516490364,0.24917326434042736,1.0,1.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa8623d4e50>,0.0
5999,10305,10304,AC,0.18335493,0.053013609,0.0,5.8062334e-06,520.0,True,520.0,1554.6888048738242,1.0,0,40,0.2505770915199659,0.9715215667109396,1.0,2.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa85fe554e0>,0.0
6003,10306,10304,AC,0.009907680609002253,0.0028646184431186557,0.0,1.2634916800000002e-06,1040.0,True,1040.0,3109.3776097476484,1.0,0,40,0.027234677774470487,0.10559256099519748,1.0,4.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa85ce65b70>,0.0
6004,10307,10306,AC,1.04982625,0.30353818,0.0,3.3244508e-05,520.0,True,520.0,1554.6888048738242,1.0,0,40,1.4348738989484437,5.563201846917249,1.0,2.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa85ce67790>,0.0
15371,10385,10071,AC,0.061502848000000006,0.0213388824,0.0,6.7653036e-07,520.0,True,520.0,6218.755219495297,1.0,0,40,0.1523171363357768,0.19515548786587078,1.0,1.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa85c90ce80>,0.0
15281,10385,10073,AC,0.0450619488,0.0156346036,0.0,4.9568376e-07,520.0,True,520.0,6218.755219495297,1.0,0,40,0.1117686710243429,0.14320299111842158,1.0,1.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa85d5173a0>,0.0
1552,1039,1038,AC,0.37429898,0.129865912,0.0,1.64691648e-05,1040.0,True,1040.0,6218.755219495297,1.0,0,40,1.8581044750831333,2.3806860742262606,1.0,2.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa85e808820>,0.0
1553,1040,1039,AC,0.055303292000000004,0.019187938,0.0,6.0833476e-07,520.0,True,520.0,6218.755219495297,1.0,0,40,0.13727178749691252,0.17587871794099455,1.0,1.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa85e808970>,0.0
15381,10443,10305,AC,1.5140125,0.437748355,0.0,4.794383e-05,520.0,True,520.0,1554.6888048738242,1.0,0,40,2.0699254672876113,8.025383408977353,1.0,2.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa85ce67b80>,0.0
24767,10468,10467,AC,0.086168214,0.02989668,0.0,3.79139464e-06,1040.0,True,1040.0,6218.755219495297,1.0,0,40,0.42795209986606864,0.5483112592694513,1.0,2.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa85b18e200>,0.0
28840,10493,10490,AC,6.316054800000001,2.1914068,0.0,6.9476748e-05,520.0,True,520.0,6218.755219495297,1.0,0,40,15.669264210369619,20.076158041290924,1.0,1.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa8628134c0>,0.0
6040,10495,10490,AC,0.0087670308,0.00304178512,0.0,9.6437e-08,520.0,True,520.0,6218.755219495297,1.0,0,40,0.021719923654270782,0.027828531963826487,1.0,1.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa860ed2020>,0.0
24769,10500,10493,AC,0.07748190480853635,0.0268829126405437,0.0,3.40931536e-06,1040.0,True,1040.0,12437.510438990594,1.0,0,40,0.3848281550187511,0.49305894362174435,1.0,2.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa85b16ba00>,0.0
10277,106,105,AC,1.64686445,0.476161015,0.0,5.2150758e-05,520.0,True,520.0,1554.6888048738242,1.0,0,40,2.251074492373893,8.727722890980482,1.0,2.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa8623d48e0>,0.0
15399,10721,10720,AC,0.8971121500000001,0.259383465,0.0,2.8408622e-05,520.0,True,520.0,1554.6888048738242,1.0,0,40,1.226066151918731,4.753625726829175,1.0,2.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa860946a70>,0.0
5124,10746,10743,AC,0.013043940799999999,0.0014531982799999997,0.0,2.28268964e-07,1790.0,True,1790.0,10741.486288219148,1.0,0,40,0.040429411499794864,0.051799959710240935,1.0,1.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa860e45600>,0.0
24801,10855,10854,AC,0.226818735,0.065580185,0.0,7.1825842e-06,520.0,True,520.0,1554.6888048738242,1.0,0,40,0.30991401871152213,1.2015789279775837,1.0,2.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa8621e6530>,0.0
10617,1088,1039,AC,0.0397253164,0.013783013200000001,0.0,4.36978432e-07,520.0,True,520.0,6218.755219495297,1.0,0,40,0.09842762519415545,0.12610984999021857,1.0,1.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa85f8813f0>,0.0
10952,1088,1040,AC,0.059231436000000005,0.0205508336,0.0,6.5154628e-07,520.0,True,520.0,6218.755219495297,1.0,0,40,0.14680569721596187,0.1880939869990252,1.0,1.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa85c9d3850>,0.0
512,109,105,AC,0.051874394,0.0149984945,0.0,1.64268874e-06,520.0,True,520.0,1554.6888048738242,1.0,0,40,0.07079796190777739,0.27449335633742405,1.0,2.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa85d399600>,0.0
15461,11015,11014,AC,1.7252543,0.49882492,0.0,5.4632952e-05,520.0,True,520.0,1554.6888048738242,1.0,0,40,2.354583072550022,9.129039776617352,1.0,2.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa85ff72a70>,0.0
15506,11031,11022,AC,0.53323248,0.154173965,0.0,1.68856952e-05,520.0,True,520.0,1554.6888048738242,1.0,0,40,0.7273701274659122,2.8201132095832984,1.0,2.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa85ffd28c0>,0.0
15517,11047,11043,AC,0.48231567999999997,0.1394525,0.0,1.5273346e-05,520.0,True,520.0,1554.6888048738242,1.0,0,40,0.6581362643936844,2.5516840778004277,1.0,2.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa85c0a33a0>,0.0
6459,11048,11047,AC,0.372666085,0.10774929,0.0,1.18010816e-05,520.0,True,520.0,1554.6888048738242,1.0,0,40,0.5093345939516487,1.9747597024708792,1.0,2.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa85bee5870>,0.0
15532,11067,11066,AC,5.65271465,1.63437725,0.0,0.00017900256,520.0,True,520.0,1554.6888048738242,1.0,0,40,7.714111648840454,29.90866319584301,1.0,2.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa85d39bb80>,0.0
6530,11073,11066,AC,0.321322155,0.092904405,0.0,1.01752046e-05,520.0,True,520.0,1554.6888048738242,1.0,0,40,0.4385662686647115,1.7003812513553809,1.0,2.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa85d39b6d0>,0.0
6532,11078,11077,AC,0.8329035,0.24081843499999997,0.0,2.6375338e-05,520.0,True,520.0,1554.6888048738242,1.0,0,40,1.1387462596496027,4.41507459261436,1.0,2.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa85fdd7010>,0.0
1595,1108,1103,AC,0.053131584,0.0184344226,0.0,2.33778776e-06,1040.0,True,1040.0,6218.755219495297,1.0,0,40,0.26347318193335956,0.33757355604709344,1.0,2.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa85c930340>,0.0
15543,11085,10001,AC,1.24330525,0.359478295,0.0,3.9371222e-05,520.0,True,520.0,1554.6888048738242,1.0,0,40,1.6995105701179738,6.58923432189034,1.0,2.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa860943070>,0.0
6567,11163,11161,AC,0.15731936,0.045485957,0.0,4.9817878e-06,520.0,True,520.0,1554.6888048738242,1.0,0,40,0.21489727763970642,0.8331860609764005,1.0,2.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa85d315ab0>,0.0
15600,11181,11177,AC,0.185016865,0.0534941605,0.0,5.8588684e-06,520.0,True,520.0,1554.6888048738242,1.0,0,40,0.2528525078354276,0.9803436661706617,1.0,2.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa85a1598a0>,0.0
15601,11182,11175,AC,0.6380209,0.18447297,0.0,2.0204096e-05,520.0,True,520.0,1554.6888048738242,1.0,0,40,0.8723871955133203,3.382364165146086,1.0,2.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa85bdfa530>,0.0
6577,11183,11182,AC,1.1721996,0.338920395,0.0,3.7119654e-05,520.0,True,520.0,1554.6888048738242,1.0,0,40,1.6022622714209798,6.21218940155472,1.0,2.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa8621e4a90>,0.0
15357,11199,10307,AC,1.36724555,0.39531305,0.0,4.3295978e-05,520.0,True,520.0,1554.6888048738242,1.0,0,40,1.8656755252560064,7.233478520627445,1.0,2.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa85ce67730>,0.0
6585,11200,11199,AC,0.26625082,0.07698141,0.0,8.43128e-06,520.0,True,520.0,1554.6888048738242,1.0,0,40,0.3638428607716497,1.4106684054368082,1.0,2.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa85fdb9660>,0.0
15630,11238,11117,AC,0.05211147333333333,0.015067081333333333,0.0,3.7129455e-06,780.0,True,780.0,1554.688804873824,1.0,0,40,0.10676131409093231,0.4139281787516352,1.0,3.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa85a15a440>,0.0
15633,11239,11238,AC,0.30946032333333334,0.08947466000000001,0.0,2.20490556e-05,780.0,True,780.0,1554.688804873824,1.0,0,40,0.6346453163989151,2.460606467868216,1.0,3.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa8621e4b80>,0.0
6598,11247,11246,AC,1.27060164,0.44084414000000005,0.0,5.59064528e-05,1040.0,True,1040.0,6218.755219495297,1.0,0,40,6.304298640460367,8.077347739252415,1.0,2.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa85f883550>,0.0
10968,1125,1124,AC,9.0221351,2.6085785,0.0,7.1425211e-05,260.0,True,260.0,1554.6888048738242,1.0,0,40,6.162105697259176,23.89132440210573,1.0,1.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa85ce67c70>,0.0
6600,11253,11244,AC,0.198608674,0.068908774,0.0,8.73878456e-06,1040.0,True,1040.0,6218.755219495297,1.0,0,40,0.985275366756911,1.2623786102293328,1.0,2.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa85f8838b0>,0.0
