name,scn_name,bus,carrier,p_nom,p_max_pu,marginal_cost,efficiency,up_time_before,e_nom_max,control,weight,p_nom_opt
0 biomass,eGon2035,0,biomass,47.001832423653674,1.0000000000000002,42.1084647787787,1.0000000000000002,0,inf,Slack,47.001832423653674,47.001832423653674
0 central_biomass_CHP,eGon2035,0,central_biomass_CHP,47.05562697021895,1.0000000000000002,42.108435550513875,1.0000000000000002,0,inf,PV,47.05562697021895,47.05562697021895
0 industrial_biomass_CHP,eGon2035,0,industrial_biomass_CHP,742.5208081259169,0.9999999999999999,42.10796795995216,0.9999999999999999,0,inf,PV,742.5208081259169,742.5208081259169
0 load shedding,,0,load shedding,63271207.312948644,0.9999999999999997,10000.008685442368,0.9999999999999997,1,0.0,PQ,63271207.312948644,63271207.312948644
0 others,eGon2035,0,others,42.14306081744107,1.0,0.0074783405627600694,1.0,0,inf,PV,42.14306081744107,42.14306081744107
0 reservoir,eGon2035,0,reservoir,179.10513597241717,0.65,0.008857857521655764,0.9999999999999999,0,inf,PV,179.10513597241717,179.10513597241717
0 run_of_river,eGon2035,0,run_of_river,999.1022793370001,0.6500000000000001,0.008384460090314972,1.0,0,inf,PV,999.1022793370001,999.1022793370001
0 solar,eGon2035,0,solar,4452.476636534963,1.0,0.017343178778967943,1.0,0,inf,PV,4452.476636534963,4452.476636534963
0 solar_rooftop,eGon2035,0,solar_rooftop,5427.767941131623,1.0,0.01812778299261882,1.0,0,inf,PV,5427.767941131623,5427.767941131623
0 wind_onshore,eGon2035,0,wind_onshore,846.0695846972626,1.0,1.3078386692983432,1.0,0,inf,PV,846.0695846972626,846.0695846972626
1 load shedding,,1,load shedding,153199.04918389503,1.0,10000.040786525162,1.0,1,0.0,PQ,153199.04918389503,153199.04918389503
1 nuclear,eGon2035,1,nuclear,243.0,1.0,5.2407865251626,1.0,0,inf,PV,243.0,243.0
1 others,eGon2035,1,others,4310.0,1.0,0.04078652516259929,1.0,0,inf,PV,4310.0,4310.0
1 run_of_river,eGon2035,1,run_of_river,46.57143021,0.65,0.04078652516259929,1.0,0,inf,PV,46.57143021,46.57143021
1 solar,eGon2035,1,solar,20020.0,1.0,0.050786525162599294,1.0,0,inf,PV,20020.0,20020.0
1 wind_offshore,eGon2035,1,wind_offshore,8360.0,1.0,2.6007865251625994,1.0,0,inf,PV,8360.0,8360.0
1 wind_onshore,eGon2035,1,wind_onshore,13633.24947,1.0,1.3407865251625994,1.0,0,inf,PV,13633.24947,13633.24947
10 biomass,eGon2035,10,biomass,43.50688489063332,1.0000000000000002,42.11008545437636,1.0000000000000002,0,inf,PV,43.50688489063332,43.50688489063332
10 central_biomass_CHP,eGon2035,10,central_biomass_CHP,36.43747360250153,1.0,42.10696862543645,1.0,0,inf,PV,36.43747360250153,36.43747360250153
10 industrial_biomass_CHP,eGon2035,10,industrial_biomass_CHP,164.99415226698918,1.0,42.107672804398874,1.0,0,inf,PV,164.99415226698918,164.99415226698918
10 load shedding,,10,load shedding,34469786.06637638,0.9999999999999998,10000.008611644202,0.9999999999999998,1,0.0,PQ,34469786.06637638,34469786.06637638
10 oil,eGon2035,10,oil,93.5,1.0,101.83665816731734,1.0,0,inf,PV,93.5,93.5
10 solar,eGon2035,10,solar,2409.872735127247,1.0,0.019278512127413057,1.0,0,inf,PV,2409.872735127247,2409.872735127247
10 solar_rooftop,eGon2035,10,solar_rooftop,1136.3604154665813,1.0,0.01701177586256078,1.0,0,inf,PV,1136.3604154665813,1136.3604154665813
10 wind_offshore,eGon2035,10,wind_offshore,2404.0,1.0,2.5693132651560044,1.0,0,inf,PV,2404.0,2404.0
10 wind_onshore,eGon2035,10,wind_onshore,5203.288727324368,1.0,1.3087300396686172,1.0,0,inf,PV,5203.288727324368,5203.288727324368
11 biomass,eGon2035,11,biomass,25.43079477916136,0.9999999999999998,42.10736344091167,0.9999999999999998,0,inf,PV,25.43079477916136,25.43079477916136
11 central_biomass_CHP,eGon2035,11,central_biomass_CHP,1.5348473000530662,1.0,42.10429116340349,1.0,0,inf,PV,1.5348473000530662,1.5348473000530662
11 industrial_biomass_CHP,eGon2035,11,industrial_biomass_CHP,323.72636199443855,1.0,42.10753875518264,1.0,0,inf,PV,323.72636199443855,323.72636199443855
11 load shedding,,11,load shedding,29414217.443307847,0.9999999999999998,10000.008256737177,0.9999999999999998,1,0.0,PQ,29414217.443307847,29414217.443307847
11 run_of_river,eGon2035,11,run_of_river,0.2659558719085358,0.6499999999999999,0.009015768095636001,1.0,0,inf,PV,0.2659558719085358,0.2659558719085358
11 solar,eGon2035,11,solar,280.11645126014486,0.9999999999999998,0.017751736008862182,0.9999999999999998,0,inf,PV,280.11645126014486,280.11645126014486
11 solar_rooftop,eGon2035,11,solar_rooftop,1280.0156313235138,1.0,0.019118804408995178,1.0,0,inf,PV,1280.0156313235138,1280.0156313235138
11 wind_offshore,eGon2035,11,wind_offshore,8339.0,1.0,2.5621289963871585,1.0,0,inf,PV,8339.0,8339.0
11 wind_onshore,eGon2035,11,wind_onshore,8190.279918015177,0.9999999999999999,1.3071650859421555,0.9999999999999999,0,inf,PV,8190.279918015177,8190.279918015177
12 biomass,eGon2035,12,biomass,10.881390532374178,1.0,42.105800712818464,1.0,0,inf,PV,10.881390532374178,10.881390532374178
12 central_biomass_CHP,eGon2035,12,central_biomass_CHP,11.943614972124582,1.0,42.10845250632628,1.0,0,inf,PV,11.943614972124582,11.943614972124582
12 industrial_biomass_CHP,eGon2035,12,industrial_biomass_CHP,121.33258663048984,1.0,42.108496838941704,1.0,0,inf,PV,121.33258663048984,121.33258663048984
12 load shedding,,12,load shedding,16698696.361044558,0.9999999999999994,10000.010129947914,0.9999999999999994,1,0.0,PQ,16698696.361044558,16698696.361044558
12 oil,eGon2035,12,oil,84.20300295,1.0,101.8727865251626,1.0,0,inf,PV,84.20300295,84.20300295
12 others,eGon2035,12,others,1559.396147689759,1.0,0.01435179832292846,1.0,0,inf,PV,1559.396147689759,1559.396147689759
12 reservoir,eGon2035,12,reservoir,8313.537643544778,0.6499999999999999,0.009693090700533693,0.9999999999999998,0,inf,PV,8313.537643544778,8313.537643544778
12 run_of_river,eGon2035,12,run_of_river,6941.045995043758,0.6500000000000001,0.008030201248495544,1.0000000000000002,0,inf,PV,6941.045995043758,6941.045995043758
12 solar,eGon2035,12,solar,22981.173685789337,1.0000000000000002,0.018741132477614813,1.0000000000000002,0,inf,PV,22981.173685789337,22981.173685789337
