name,scn_name,bus,carrier,p_set
0 AC,eGon2035,0,AC,0.0
1 AC,eGon2035,1,AC,0.0
1 H2_for_industry,eGon2035,1,H2_for_industry,1694.1099472916665
10 AC,eGon2035,10,AC,0.0
11 AC,eGon2035,11,AC,0.0
12 AC,eGon2035,12,AC,0.0
12 H2_for_industry,eGon2035,12,H2_for_industry,415.02148427083335
13 AC,eGon2035,13,AC,0.0
14 AC,eGon2035,14,AC,0.0
14 H2_for_industry,eGon2035,14,H2_for_industry,1598.13083625
15 AC,eGon2035,15,AC,0.0
16 AC,eGon2035,16,AC,0.0
16 H2_for_industry,eGon2035,16,H2_for_industry,863.4360502083332
17 AC,eGon2035,17,AC,0.0
17 H2_for_industry,eGon2035,17,H2_for_industry,764.9263341666666
18 AC,eGon2035,18,AC,0.0
19 AC,eGon2035,19,AC,0.0
19 H2_for_industry,eGon2035,19,H2_for_industry,764.9263341666666
2 AC,eGon2035,2,AC,0.0
2 H2_for_industry,eGon2035,2,H2_for_industry,1201.6882454166666
20 AC,eGon2035,20,AC,0.0
21 AC,eGon2035,21,AC,0.0
22 AC,eGon2035,22,AC,0.0
23 AC,eGon2035,23,AC,0.0
24 AC,eGon2035,24,AC,0.0
25 AC,eGon2035,25,AC,0.0
26 AC,eGon2035,26,AC,0.0
27 AC,eGon2035,27,AC,0.0
28 AC,eGon2035,28,AC,0.0
29 AC,eGon2035,29,AC,0.0
3 AC,eGon2035,3,AC,0.0
3 H2_for_industry,eGon2035,3,H2_for_industry,1651.7463891666666
31613 AC,eGon2035,31613,AC,0.0
31638 AC,eGon2035,31638,AC,0.0
31672 AC,eGon2035,31672,AC,0.0
4 AC,eGon2035,4,AC,0.0
4 H2_for_industry,eGon2035,4,H2_for_industry,863.4360502083332
48639 CH4,eGon2035,48639,CH4,0.0
48640 CH4,eGon2035,48640,CH4,0.0
48641 CH4,eGon2035,48641,CH4,0.0
48642 CH4,eGon2035,48642,CH4,0.0
48643 CH4,eGon2035,48643,CH4,0.0
48644 CH4,eGon2035,48644,CH4,0.0
48645 CH4,eGon2035,48645,CH4,0.0
48646 CH4,eGon2035,48646,CH4,0.0
48647 CH4,eGon2035,48647,CH4,0.0
48648 CH4,eGon2035,48648,CH4,0.0
48649 CH4,eGon2035,48649,CH4,0.0
48650 CH4,eGon2035,48650,CH4,0.0
49625 central_heat,eGon2035,49625,central_heat,0.0
49934 central_heat,eGon2035,49934,central_heat,0.0
49936 central_heat,eGon2035,49936,central_heat,0.0
5 AC,eGon2035,5,AC,0.0
50209 central_heat,eGon2035,50209,central_heat,0.0
50808 central_heat,eGon2035,50808,central_heat,0.0
51439 central_heat,eGon2035,51439,central_heat,0.0
51953 central_heat,eGon2035,51953,central_heat,0.0
52040 rural_heat,eGon2035,52040,rural_heat,0.0
52041 rural_heat,eGon2035,52041,rural_heat,0.0
52042 rural_heat,eGon2035,52042,rural_heat,0.0
52043 rural_heat,eGon2035,52043,rural_heat,0.0
52044 rural_heat,eGon2035,52044,rural_heat,0.0
52046 rural_heat,eGon2035,52046,rural_heat,0.0
52047 rural_heat,eGon2035,52047,rural_heat,0.0
52052 rural_heat,eGon2035,52052,rural_heat,0.0
52053 rural_heat,eGon2035,52053,rural_heat,0.0
52055 rural_heat,eGon2035,52055,rural_heat,0.0
52058 rural_heat,eGon2035,52058,rural_heat,0.0
52059 rural_heat,eGon2035,52059,rural_heat,0.0
52064 rural_heat,eGon2035,52064,rural_heat,0.0
52067 rural_heat,eGon2035,52067,rural_heat,0.0
52069 rural_heat,eGon2035,52069,rural_heat,0.0
52074 rural_heat,eGon2035,52074,rural_heat,0.0
52084 rural_heat,eGon2035,52084,rural_heat,0.0
52086 rural_heat,eGon2035,52086,rural_heat,0.0
52095 rural_heat,eGon2035,52095,rural_heat,0.0
53184 rural_heat,eGon2035,53184,rural_heat,0.0
53649 rural_heat,eGon2035,53649,rural_heat,0.0
55357 rural_heat,eGon2035,55357,rural_heat,0.0
6 AC,eGon2035,6,AC,0.0
6 H2_for_industry,eGon2035,6,H2_for_industry,609.9109516041666
69914 land_transport_EV,eGon2035,69914,land_transport_EV,0.0
69915 land_transport_EV,eGon2035,69915,land_transport_EV,0.0
69920 land_transport_EV,eGon2035,69920,land_transport_EV,0.0
69924 land_transport_EV,eGon2035,69924,land_transport_EV,0.0
69925 land_transport_EV,eGon2035,69925,land_transport_EV,0.0
69929 land_transport_EV,eGon2035,69929,land_transport_EV,0.0
69931 land_transport_EV,eGon2035,69931,land_transport_EV,0.0
69958 land_transport_EV,eGon2035,69958,land_transport_EV,0.0
69975 land_transport_EV,eGon2035,69975,land_transport_EV,0.0
7 AC,eGon2035,7,AC,0.0
70054 land_transport_EV,eGon2035,70054,land_transport_EV,0.0
70058 land_transport_EV,eGon2035,70058,land_transport_EV,0.0
70134 land_transport_EV,eGon2035,70134,land_transport_EV,0.0
70154 land_transport_EV,eGon2035,70154,land_transport_EV,0.0
70226 land_transport_EV,eGon2035,70226,land_transport_EV,0.0
70292 land_transport_EV,eGon2035,70292,land_transport_EV,0.0
70310 land_transport_EV,eGon2035,70310,land_transport_EV,0.0
70372 land_transport_EV,eGon2035,70372,land_transport_EV,0.0
70512 land_transport_EV,eGon2035,70512,land_transport_EV,0.0
70797 land_transport_EV,eGon2035,70797,land_transport_EV,0.0
76818 land_transport_EV,eGon2035,76818,land_transport_EV,0.0
76942 land_transport_EV,eGon2035,76942,land_transport_EV,0.0
77068 land_transport_EV,eGon2035,77068,land_transport_EV,0.0
77069 CH4_for_industry,eGon2035,77069,CH4_for_industry,0.0
77069 rural_gas_boiler,eGon2035,77069,rural_gas_boiler,0.0
77083 H2_for_industry,eGon2035,77083,H2_for_industry,0.0
77083 H2_hgv_load,eGon2035,77083,H2_hgv_load,0.0
77084 central_heat,eGon2035,77084,central_heat,0.0
77085 central_heat,eGon2035,77085,central_heat,0.0
77086 central_heat,eGon2035,77086,central_heat,0.0
77087 central_heat,eGon2035,77087,central_heat,0.0
77089 central_heat,eGon2035,77089,central_heat,0.0
77090 central_heat,eGon2035,77090,central_heat,0.0
77093 central_heat,eGon2035,77093,central_heat,0.0
77094 central_heat,eGon2035,77094,central_heat,0.0
77096 central_heat,eGon2035,77096,central_heat,0.0
77097 central_heat,eGon2035,77097,central_heat,0.0
77098 central_heat,eGon2035,77098,central_heat,0.0
77099 central_heat,eGon2035,77099,central_heat,0.0
77101 central_heat,eGon2035,77101,central_heat,0.0
77102 central_heat,eGon2035,77102,central_heat,0.0
77103 central_heat,eGon2035,77103,central_heat,0.0
77105 central_heat,eGon2035,77105,central_heat,0.0
77106 central_heat,eGon2035,77106,central_heat,0.0
77107 central_heat,eGon2035,77107,central_heat,0.0
77108 central_heat,eGon2035,77108,central_heat,0.0
77109 central_heat,eGon2035,77109,central_heat,0.0
8 AC,eGon2035,8,AC,0.0
9 AC,eGon2035,9,AC,0.0
9 H2_for_industry,eGon2035,9,H2_for_industry,517.5741359166666
